Timestamp,A_QI,A_QJ,A_QK,A_QR,B_QI,B_QJ,B_QK,B_QR,A_AX,A_AY,A_AZ,B_AX,B_AY,B_AZ,A_GX,A_GY,A_GZ,B_GX,B_GY,B_GZ
1852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.11328128725290298,9.613285064697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.11328128725290298,9.613285064697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.07812502980232239,9.613285064697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.07812502980232239,9.613285064697266,0.0,0.0,0.0,-0.001953126396983862,0.0,-0.005859379190951586,0.0,0.0,0.0
1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.07812502980232239,9.613285064697266,0.0,0.0,0.0,0.0,-0.001953126396983862,-0.001953126396983862,0.0,0.0,0.0
1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.07812502980232239,9.613285064697266,0.0,0.0,0.0,0.003906252793967724,0.001953126396983862,-0.003906252793967724,0.0,0.0,0.0
1927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8046877980232239,-0.07812502980232239,9.613285064697266,0.0,0.0,0.0,0.003906252793967724,0.001953126396983862,-0.003906252793967724,0.0,0.0,0.0
1938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.07812502980232239,9.613285064697266,0.0,0.0,0.0,0.003906252793967724,0.001953126396983862,-0.003906252793967724,0.0,0.0,0.0
1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.07812502980232239,9.613285064697266,0.0,0.0,0.0,-0.001953126396983862,0.001953126396983862,-0.001953126396983862,0.0,0.0,0.0
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.07812502980232239,9.613285064697266,0.0,0.0,0.0,0.005859379190951586,-0.001953126396983862,0.001953126396983862,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.07812502980232239,9.578128814697266,0.0,0.0,0.0,0.005859379190951586,-0.001953126396983862,0.001953126396983862,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.039062514901161194,9.578128814697266,0.0,0.0,0.0,0.005859379190951586,-0.001953126396983862,0.001953126396983862,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.039062514901161194,9.578128814697266,0.0,0.0,0.0,0.003906252793967724,-0.001953126396983862,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.039062514901161194,9.578128814697266,0.0,0.0,0.0,0.003906252793967724,0.0,0.005859379190951586,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.07812502980232239,9.578128814697266,0.0,0.0,0.0,0.003906252793967724,0.0,0.005859379190951586,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.07812502980232239,9.578128814697266,0.0,0.0,0.0,-0.001953126396983862,0.0,0.001953126396983862,0.0,0.0,0.0
2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656252980232239,-0.07812502980232239,9.578128814697266,0.0,0.0,0.0,0.005859379190951586,-0.003906252793967724,-0.001953126396983862,0.0,0.0,0.0
